Episode,Reward,Steps
1,-238.49999999999957,100
2,-1005.1000000000015,100
3,-249.19999999999976,100
4,-331.19999999999993,100
5,-816.5999999999992,100
6,-854.7999999999989,100
7,-166.49999999999997,100
8,-635.2,100
9,-849.9000000000005,100
10,-550.6000000000001,100
11,-406.7,100
12,-811.8000000000017,100
13,-321.3000000000002,100
14,-779.7999999999987,100
15,-283.60000000000053,100
16,-213.5000000000003,100
17,-288.30000000000024,100
18,-301.20000000000016,100
19,-858.7000000000011,100
20,-298.3999999999995,100
21,-1026.000000000001,100
22,-758.9999999999983,100
23,-275.0000000000002,100
24,-956.1000000000012,100
25,-971.5000000000013,100
26,-248.20000000000041,100
27,-237.20000000000041,100
28,-793.7000000000007,100
29,-905.4999999999987,100
30,-188.79999999999984,100
31,-854.4000000000015,100
32,-786.2999999999994,100
33,-246.3000000000003,100
34,-899.999999999999,100
35,-908.3999999999987,100
36,-281.30000000000035,100
37,-237.29999999999993,100
38,-601.2999999999992,100
39,-290.1,100
40,-311.4999999999999,100
41,-184.99999999999983,100
42,-603.5999999999993,100
43,-297.00000000000045,100
44,-450.3999999999997,100
45,-1021.2000000000012,100
46,-332.30000000000024,100
47,-255.29999999999964,100
48,-261.80000000000024,100
49,-938.0999999999988,100
50,-880.599999999999,100
51,-887.999999999999,100
52,-823.3000000000003,100
53,-583.1,100
54,-905.6000000000012,100
55,-245.10000000000045,100
56,-273.20000000000016,100
57,-973.5000000000016,100
58,-301.0000000000003,100
59,-295.5999999999999,100
60,-196.6999999999999,100
61,-271.3000000000001,100
62,-325.7000000000001,100
63,-209.20000000000016,100
64,-241.80000000000038,100
65,-253.99999999999974,100
66,-735.6999999999999,100
67,-372.8000000000005,100
68,-949.0000000000013,100
69,-878.900000000001,100
70,-1020.4000000000008,100
71,-351.5000000000001,100
72,-219.69999999999953,100
73,-271.90000000000043,100
74,-557.0000000000002,100
75,-779.399999999999,100
76,-934.1000000000012,100
77,-272.2999999999998,100
78,-1050.2000000000016,100
