Type,Episode,Total_Episodes,Env_ID,Env_Reward,Total_Reward,Alignment_Bonus,Compliance,Fixes,Steps
episode,1,,0,-971.60,-947.78,23.82,0.7941,34.0,100
episode,1,,1,-1142.80,-1121.51,21.29,0.7097,31.0,100
episode,1,,2,-159.40,-159.40,0.00,0.0000,14.0,100
episode,1,,3,-823.80,-823.80,0.00,0.0000,9.0,100
episode,1,,4,-1143.80,-1130.16,13.64,0.4545,11.0,100
episode,1,,5,-1005.80,-1005.80,0.00,0.0000,24.0,100
episode,1,,6,-1134.90,-1107.98,26.92,0.8974,39.0,100
episode,1,,7,-1140.70,-1137.70,3.00,0.1000,10.0,100
episode,1,,8,-1142.80,-1142.80,0.00,0.0000,13.0,100
episode,1,,9,-1082.80,-1055.17,27.63,0.9211,38.0,100
episode,1,,10,-1058.80,-1031.30,27.50,0.9167,36.0,100
episode,1,,11,-1082.80,-1079.80,3.00,0.1000,10.0,100
episode,1,,12,-1135.60,-1109.89,25.71,0.8571,35.0,100
episode,1,,13,-1121.80,-1108.47,13.33,0.4444,9.0,100
episode,1,,14,-857.70,-857.70,0.00,0.0000,15.0,100
episode,1,,15,-966.80,-945.13,21.67,0.7222,18.0,100
episode,1,,16,-350.70,-326.08,24.62,0.8205,39.0,100
episode,1,,17,-1133.70,-1133.70,0.00,0.0000,13.0,100
episode,1,,18,-1139.70,-1139.70,0.00,0.0000,14.0,100
episode,1,,19,-872.30,-849.80,22.50,0.7500,16.0,100
episode,1,,20,-911.80,-892.39,19.41,0.6471,17.0,100
episode,1,,21,-267.70,-238.26,29.44,0.9815,54.0,100
episode,1,,22,-868.80,-868.80,0.00,0.0000,12.0,100
episode,1,,23,-977.70,-950.56,27.14,0.9048,21.0,100
episode,1,,24,-613.80,-592.13,21.67,0.7222,18.0,100
summary,,25,,-924.32,-910.23,14.09,0.4697,22.00,
episode,2,,0,-1203.00,-1203.00,0.00,0.0000,14.0,100
episode,2,,1,-884.00,-873.09,10.91,0.3636,22.0,100
episode,2,,2,-203.00,-183.00,20.00,0.6667,12.0,100
episode,2,,3,-1310.00,-1283.75,26.25,0.8750,8.0,100
episode,2,,4,-1154.00,-1147.08,6.92,0.2308,13.0,100
episode,2,,5,-1211.00,-1211.00,0.00,0.0000,5.0,100
episode,2,,6,-1280.00,-1250.71,29.29,0.9762,42.0,100
episode,2,,7,-1313.00,-1304.43,8.57,0.2857,7.0,100
episode,2,,8,-1312.00,-1312.00,0.00,0.0000,16.0,100
episode,2,,9,-1203.00,-1188.00,15.00,0.5000,12.0,100
episode,2,,10,-1111.00,-1086.71,24.29,0.8095,21.0,100
episode,2,,11,-391.00,-366.45,24.55,0.8182,11.0,100
episode,2,,12,-1287.00,-1257.86,29.14,0.9714,35.0,100
episode,2,,13,-1211.50,-1183.26,28.24,0.9412,17.0,100
episode,2,,14,-1312.00,-1300.75,11.25,0.3750,16.0,100
episode,2,,15,-1316.00,-1316.00,0.00,0.0000,17.0,100
episode,2,,16,-164.00,-137.41,26.59,0.8864,44.0,100
episode,2,,17,-1214.00,-1194.59,19.41,0.6471,17.0,100
episode,2,,18,-1302.00,-1300.12,1.88,0.0625,16.0,100
episode,2,,19,-1203.00,-1175.61,27.39,0.9130,23.0,100
episode,2,,20,-241.00,-214.00,27.00,0.9000,10.0,100
episode,2,,21,-228.00,-207.13,20.87,0.6957,23.0,100
episode,2,,22,-1313.00,-1304.43,8.57,0.2857,14.0,100
episode,2,,23,-220.00,-214.78,5.22,0.1739,23.0,100
episode,2,,24,-229.00,-202.16,26.84,0.8947,19.0,100
summary,,50,,-952.62,-936.69,15.93,0.5309,18.28,
episode,3,,0,-1202.00,-1178.67,23.33,0.7778,9.0,100
episode,3,,1,-173.60,-161.25,12.35,0.4118,17.0,100
episode,3,,2,-202.00,-202.00,0.00,0.0000,5.0,100
episode,3,,3,-282.00,-257.36,24.64,0.8214,28.0,100
episode,3,,4,-306.00,-293.50,12.50,0.4167,12.0,100
episode,3,,5,-1212.00,-1212.00,0.00,0.0000,9.0,100
episode,3,,6,-1142.00,-1113.84,28.16,0.9388,49.0,100
episode,3,,7,-514.00,-494.00,20.00,0.6667,15.0,100
episode,3,,8,-1220.00,-1220.00,0.00,0.0000,10.0,100
episode,3,,9,-1202.00,-1202.00,0.00,0.0000,5.0,100
episode,3,,10,-1103.20,-1099.45,3.75,0.1250,8.0,100
episode,3,,11,-302.10,-288.25,13.85,0.4615,13.0,100
episode,3,,12,-1203.00,-1195.50,7.50,0.2500,12.0,100
episode,3,,13,-1203.00,-1193.00,10.00,0.3333,12.0,100
episode,3,,14,-1245.00,-1231.36,13.64,0.4545,11.0,100
episode,3,,15,-816.00,-808.00,8.00,0.2667,15.0,100
episode,3,,16,-104.00,-97.33,6.67,0.2222,9.0,100
episode,3,,17,-1215.00,-1215.00,0.00,0.0000,12.0,100
episode,3,,18,-1302.00,-1302.00,0.00,0.0000,10.0,100
episode,3,,19,-480.00,-453.00,27.00,0.9000,20.0,100
episode,3,,20,-122.00,-117.71,4.29,0.1429,7.0,100
episode,3,,21,-204.70,-204.70,0.00,0.0000,19.0,100
episode,3,,22,-1312.00,-1307.38,4.62,0.1538,13.0,100
episode,3,,23,-217.60,-213.85,3.75,0.1250,16.0,100
episode,3,,24,-211.00,-184.53,26.47,0.8824,17.0,100
summary,,75,,-739.85,-729.83,10.02,0.3340,14.12,
episode,4,,0,-1201.00,-1201.00,0.00,0.0000,9.0,100
episode,4,,1,-157.00,-145.00,12.00,0.4000,15.0,100
episode,4,,2,-255.00,-255.00,0.00,0.0000,7.0,100
episode,4,,3,-209.00,-182.21,26.79,0.8929,28.0,100
episode,4,,4,-312.00,-312.00,0.00,0.0000,5.0,100
episode,4,,5,-900.00,-872.73,27.27,0.9091,11.0,100
episode,4,,6,-199.00,-182.12,16.88,0.5625,16.0,100
episode,4,,7,-309.00,-290.25,18.75,0.6250,8.0,100
episode,4,,8,-1213.00,-1213.00,0.00,0.0000,10.0,100
